"id","prozessart","ikw","bundesland","ezg","ereignis_jahr","ereignis_monat","ereignis_Tag","punkt_x","punkt_y","WLK_ID"
26892,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Steinbach",2005,7,10,430946,451129,"102720"
26893,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Luderbach",2005,7,10,431170,450444,"102858"
26894,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Groißbach",2005,5,30,431336,448947,"102859"
26895,"Murgang",NA,"Vorarlberg","Milktobel",2005,8,22,147080,351164,"299661"
26896,"Murartiger Feststofftransport",NA,"Vorarlberg","Tramosabach",2005,8,22,145424,353495,"299781"
26901,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Zürsbach",2005,8,22,159781,369074,"304781"
26907,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Mollnerbach",2004,5,31,471300,439875,"103377"
26908,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Grafesertobel",2005,8,22,137173,362997,"170862"
26911,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Valschavielbach",2005,8,22,148356,349131,"311821"
26912,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Garnerabach",2005,8,22,148584,347881,"311701"
26917,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Galgentobel",2005,8,22,133337,368690,"315421"
26918,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Galina",2005,8,22,122062,373697,"312981"
26919,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Hölltobel",2005,8,22,146290,363999,"317981"
26920,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Lutz",2005,8,22,140852,376652,"305221"
26921,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Lutz",2005,8,22,149415,376698,"305221"
26925,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Mengbach",2005,8,22,124752,371096,"309301"
26926,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Schlosstobelbach",2005,8,22,131103,374558,"298821"
26927,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Krumme Steyrling",2005,5,30,470753,444270,"103379"
26930,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Käfergraben",2005,7,10,460271,449680,"103131"
26933,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Hausmanningerbach",2005,7,10,459052,446447,"103341"
